,Words,Frequency
457,seven,41
458,drinking,41
459,hell,41
460,passed,40
461,top,40
462,sheriffs,40
463,circle,40
464,clean,40
465,huh,40
466,watch,40
467,stop,40
468,ready,40
469,recent,39
470,dog,39
471,stroke,39
472,mary,39
473,brother,39
474,illness,39
475,baby,39
476,red,39
477,land,39
478,wrong,39
479,almost,39
480,felt,39
481,lives,38
482,wants,38
483,telephone,38
484,mask,38
485,health,38
486,hurts,38
487,mouth,38
488,drooling,38
489,anymore,38
490,614,37
491,sounds,37
492,simple,37
493,black,37
494,weakness,37
495,supposed,37
496,takes,37
497,nobody,37
498,definitely,37
499,difficult,37
500,question,37
501,hospitalized,37
502,white,36
503,every,36
504,falling,36
505,8,36
506,absolutely,36
507,doors,36
508,center,36
509,telling,36
510,cancer,36
511,upstairs,36
512,7,35
513,guy,35
514,order,35
515,hour,35
516,commands,35
517,type,35
518,headed,35
519,ones,35
520,wear,35
521,barely,35
522,temperature,35
523,cloth,34
524,pass,34
525,pick,34
526,uhhuh,34
527,run,34
528,signs,34
529,caused,34
530,drunk,34
531,id,34
532,new,34
533,80,34
534,best,34
535,dry,34
536,marked,34
537,soon,34
538,cut,33
539,family,33
540,dizzy,33
541,used,33
542,department,33
543,found,33
544,acting,33
545,70,33
546,alcohol,33
547,eight,32
548,driveway,32
549,saw,32
550,vaccinated,32
551,tag,32
552,stomach,32
553,meantime,32
554,checked,32
555,names,32
556,injury,32
557,known,32
558,james,32
559,79,32
560,months,32
561,infection,32
562,comfortably,32
563,enough,32
564,building,32
565,hand,32
566,driving,31
567,couch,31
568,cpr,31
569,keeps,31
570,physical,31
571,comfort,31
572,hands,31
573,waiting,31
574,entrance,31
575,weighs,31
576,throwing,31
577,set,31
578,coffee,31
579,afraid,31
580,sentences,31
581,isnt,31
582,locked,31
583,feels,31
584,household,31
585,close,30
586,east,30
587,ground,30
588,confused,30
589,county,30
590,lost,30
591,transfer,30
592,different,30
593,using,30
594,wouldnt,30
595,friend,30
596,surgical,30
597,pulled,29
598,serious,29
599,possible,29
600,quarantined,29
601,across,29
602,grady,29
603,less,29
604,parking,29
605,landed,29
606,living,29
607,lady,29
608,male,29
609,rock,29
610,looking,29
611,youll,28
612,eating,28
613,end,28
614,nausea,28
615,35,28
616,behind,28
617,er,28
618,gotten,27
619,73,27
620,john,27
621,always,27
622,medicine,27
623,neighbor,27
624,weird,27
625,sent,27
626,beat,27
627,gone,27
628,wheres,27
629,issue,27
630,child,27
631,contact,27
632,ugh,27
633,due,27
634,test,27
635,made,27
636,whos,27
637,speaking,27
638,9,27
639,aint,27
640,foot,26
641,truck,26
642,georgetown,26
643,tired,26
644,body,26
645,headache,26
646,show,26
647,reason,26
648,listen,26
649,scared,26
650,allow,26
651,moving,26
652,city,26
653,taylor,26
654,working,26
655,running,26
656,asking,26
657,bring,26
658,mark,26
659,none,25
660,narcan,25
661,traveled,25
662,dr,25
663,riverside,25
664,15,25
665,88,25
666,remember,25
667,gun,25
668,usually,25
669,wearing,25
670,pull,25
671,ashley,25
672,water,25
673,attack,25
674,concrete,24
675,ankle,24
676,key,24
677,b,24
678,hours,24
679,third,24
680,74,24
681,walked,24
682,gotcha,24
683,moment,24
684,sort,24
685,sometimes,24
686,fast,24
687,carpet,24
688,89,24
689,making,24
690,steps,24
691,91,24
692,main,24
693,blue,23
694,towards,23
695,drug,23
696,looked,23
697,literally,23
698,certain,23
699,ice,23
700,holding,23
701,anyway,23
702,talked,23
703,thinks,23
704,dead,23
705,positive,23
706,woke,23
707,hearing,23
708,90,23
709,disconnect,23
710,low,23
711,leaving,23
712,involved,23
713,55,22
714,60,22
715,friday,22
716,david,22
717,67,22
718,93,22
719,pulse,22
720,boy,22
721,share,22
722,violent,22
723,goes,22
724,boyfriend,22
725,40,22
726,busy,22
727,everythings,22
728,kitchen,22
729,sleep,22
730,lay,22
731,coughing,22
732,woman,22
733,store,22
734,downstairs,22
735,yall,22
736,chris,21
737,turned,21
738,female,21
739,yelling,21
740,fire,21
741,appear,21
742,pounds,21
743,49,21
744,code,21
745,somewhere,21
746,nine,21
747,30,21
748,swollen,21
749,42,21
750,knows,21
751,robert,21
752,crying,21
753,bunch,21
754,columbus,21
755,85,21
756,negative,21
757,early,21
758,husbands,21
759,lightheaded,21
760,past,21
761,without,21
762,helping,21
763,quite,21
764,concerned,21
765,heading,21
766,tested,21
767,daily,21
768,love,21
769,course,21
770,station,21
771,ridge,21
772,assist,21
773,86,21
774,hurry,21
775,girlfriend,21
776,mine,21
777,grab,20
778,westerville,20
779,bob,20
780,spell,20
781,parkway,20
782,unlock,20
783,20,20
784,fuck,20
785,figure,20
786,jamie,20
787,sister,20
788,oclock,20
789,straight,20
790,seeing,20
791,life,20
792,chelsea,20
793,sarah,20
794,comes,20
795,least,20
796,possibly,20
797,mental,20
798,ordered,20
799,11,20
800,lexington,20
801,82,20
802,wound,19
803,central,19
804,service,19
805,abusive,19
806,button,19
807,77,19
808,83,19
809,debbie,19
810,section,19
811,rate,19
812,access,19
813,specific,19
814,apply,19
815,sunbury,19
816,level,19
817,reading,19
818,corner,19
819,lewis,19
820,shaking,19
821,job,19
822,linda,19
823,78,19
824,diarrhea,19
825,accident,18
826,near,18
827,meds,18
828,deep,18
829,carol,18
830,girl,18
831,vomited,18
832,unconscious,18
833,flat,18
834,available,18
835,ladder,18
836,smile,18
837,72,18
838,bill,18
839,ta,18
840,basically,18
841,letting,18
842,chance,18
843,elbow,18
844,sleeping,18
845,kidney,18
846,copd,18
847,approximately,18
848,father,18
849,age,18
850,hospice,18
851,month,18
852,children,18
853,union,18
854,nose,18
855,lower,18
856,creek,18
857,sirens,17
858,together,17
859,bruising,17
860,transport,17
861,numb,17
862,step,17
863,mike,17
864,249,17
865,threw,17
866,seated,17
867,sandusky,17
868,crazy,17
869,bar,17
870,property,17
871,needed,17
872,birthday,17
873,christian,17
874,putting,17
875,toilet,17
876,hardly,17
877,everybody,17
878,brain,17
879,knew,17
880,picked,17
881,fun,17
882,porch,17
883,showing,17
884,antibiotics,17
885,video,17
886,ryan,17
887,michael,17
888,26,17
889,apologize,17
890,seizure,17
891,shower,16
892,parked,16
893,ran,16
894,domestic,16
895,control,16
896,76,16
897,edge,16
898,knees,16
899,walnut,16
900,samantha,16
901,overdose,16
902,28,16
903,liberty,16
904,cops,16
905,suffering,16
906,zero,16
907,happens,16
908,kensington,16
909,monday,16
910,verbal,16
911,nervous,16
912,81,16
913,works,16
914,dan,16
915,weight,16
916,color,16
917,hardwood,16
918,bottom,16
919,nice,16
920,deal,16
921,dude,16
922,strong,16
923,vaccine,16
924,respiratory,16
925,pneumonia,16
926,beside,16
927,lisa,16
928,23,16
929,honestly,16
930,clear,16
931,kid,16
932,37,16
933,neck,15
934,subs,15
935,remove,15
936,lobby,15
937,often,15
938,tile,15
939,jennifer,15
940,bonnie,15
941,wwwzeorangercouk,15
942,meadows,15
943,caller,15
944,goodbye,15
945,complain,15
946,sidewalk,15
947,sweating,15
948,dehydrated,15
949,bloody,15
950,dementia,15
951,hair,15
952,lots,15
953,shell,15
954,ass,15
955,arms,15
956,miss,15
957,susan,15
958,giving,15
959,moved,15
960,neighbors,15
961,air,15
962,pulling,15
963,exert,15
964,24,15
965,fight,15
966,obviously,15
967,matter,15
968,moms,15
969,shoulder,15
970,nauseous,15
971,computer,15
972,unable,14
973,arguing,14
974,dropped,14
975,guns,14
976,break,14
977,tom,14
978,ford,14
979,light,14
980,business,14
981,catheter,14
982,fully,14
983,brandy,14
984,patio,14
985,mmm,14
986,flu,14
987,ya,14
988,whether,14
989,multiple,14
990,sides,14
991,vehicles,14
992,berlin,14
993,unit,14
994,transferred,14
995,scott,14
996,residents,14
997,daughters,14
998,slipped,14
999,tony,14
1000,71,14
1001,e,14
1002,fact,14
1003,tuesday,14
1004,makes,14
1005,skin,14
1006,worked,14
1007,gentleman,14
1008,lungs,14
1009,buddy,14
1010,ha,14
1011,galena,14
1012,touch,14
1013,woods,14
1014,tomorrow,14
1015,condition,14
1016,cuts,14
1017,nancy,14
1018,karen,14
1019,stopped,14
1020,25,13
1021,school,13
1022,damn,13
1023,alone,13
1024,sense,13
1025,direct,13
1026,brown,13
1027,given,13
1028,middle,13
1029,13,13
1030,sound,13
1031,basement,13
1032,experiencing,13
1033,50,13
1034,arent,13
1035,bedridden,13
1036,unfortunately,13
1037,separated,13
1038,read,13
1039,franklin,13
1040,hill,13
1041,onto,13
1042,dial,13
1043,services,13
1044,towel,13
1045,16,13
1046,report,13
1047,oak,13
1048,poop,13
1049,loud,13
1050,walker,13
1051,itll,13
1052,thursday,13
1053,death,13
1054,27,13
1055,failure,13
1056,situation,13
1057,period,13
1058,several,13
1059,born,13
1060,arrive,13
1061,95,13
1062,hall,13
1063,222,13
1064,caught,13
1065,36,13
1066,upset,13
1067,lung,13
1068,late,13
1069,brought,13
1070,shorter,13
1071,along,13
1072,roll,13
1073,tripped,13
1074,date,13
1075,sweet,13
1076,assistance,13
1077,0,13
1078,200,13
1079,discharged,13
1080,st,13
1081,mad,12
1082,violence,12
1083,300,12
1084,mind,12
1085,asleep,12
1086,87,12
1087,cause,12
1088,backwards,12
1089,directly,12
1090,48,12
1091,board,12
1092,transported,12
1093,chemo,12
1094,spoke,12
1095,hot,12
1096,complaints,12
1097,notice,12
1098,joe,12
1099,sending,12
1100,policy,12
1101,orange,12
1102,accidentally,12
1103,helps,12
1104,slammed,12
1105,strength,12
1106,allergy,12
1107,411,12
1108,confirm,12
1109,cars,12
1110,accidental,12
1111,slid,12
1112,addressed,12
1113,threatening,12
1114,lock,12
1115,kinds,12
1116,treatment,12
1117,wake,12
1118,otherwise,12
1119,gosh,12
1120,youd,12
1121,hope,12
1122,jason,12
1123,super,12
1124,nursing,12
1125,shoot,12
1126,worried,12
1127,throat,12
1128,80s,12
1129,small,12
1130,yard,12
1131,danger,12
1132,rolled,12
1133,overdosed,12
1134,wrist,12
1135,wall,12
1136,j,12
1137,kicked,12
1138,62,12
1139,kevin,12
1140,lake,12
1141,worry,11
1142,ben,11
1143,1330,11
1144,tiffany,11
1145,physically,11
1146,223,11
1147,twice,11
1148,shots,11
1149,wanting,11
1150,movement,11
1151,dressed,11
1152,cool,11
1153,green,11
1154,within,11
1155,polaris,11
1156,team,11
1157,seat,11
1158,53,11
1159,rolling,11
1160,cindy,11
1161,add,11
1162,heres,11
1163,royal,11
1164,double,11
1165,bowel,11
1166,emily,11
1167,cameron,11
1168,brickstone,11
1169,apparently,11
1170,92,11
1171,dizziness,11
1172,janet,11
1173,160,11
1174,background,11
1175,58,11
1176,london,11
1177,causing,11
1178,marking,11
1179,bear,11
1180,bradford,11
1181,math,11
1182,39,11
1183,surface,11
1184,dark,11
1185,nurses,11
1186,easier,11
1187,curtis,11
1188,wheelchair,11
1189,katie,11
1190,pop,11
1191,birth,11
1192,hitting,11
1193,staying,11
1194,everyone,11
1195,splint,11
1196,stayed,11
1197,money,11
1198,jessica,11
1199,die,11
1200,calls,11
1201,masks,11
1202,dress,11
1203,terrible,11
1204,shirt,11
1205,system,10
1206,choice,10
1207,wednesday,10
1208,michelle,10
1209,milligrams,10
1210,funny,10
1211,18,10
1212,ten,10
1213,company,10
1214,everywhere,10
1215,april,10
1216,sisters,10
1217,heads,10
1218,pills,10
1219,support,10
1220,command,10
1221,tina,10
1222,dispatching,10
1223,betty,10
1224,sunday,10
1225,angry,10
1226,parents,10
1227,physician,10
1228,greg,10
1229,round,10
1230,suggest,10
1231,cody,10
1232,coherent,10
1233,semi,10
1234,sons,10
1235,motherfucker,10
1236,andrew,10
1237,lights,10
1238,slurred,10
1239,dublin,10
1240,nonemergency,10
1241,wish,10
1242,split,10
1243,direction,10
1244,47,10
1245,pine,10
1246,jim,10
1247,entire,10
1248,seconds,10
1249,description,10
1250,nasal,10
1251,extremely,10
1252,cost,10
1253,grandma,10
1254,vanessa,10
1255,diane,10
1256,22,10
1257,cross,10
1258,bleed,10
1259,someones,10
1260,bone,10
1261,38,10
1262,facility,10
1263,words,10
1264,starts,10
1265,63,10
1266,levels,10
1267,safety,10
1268,burning,10
1269,must,10
1270,delaying,10
1271,nobodys,10
1272,helen,10
1273,box,10
1274,desk,10
1275,patrol,10
1276,deputy,10
1277,12,10
1278,forward,10
1279,butt,10
1280,related,10
1281,important,10
1282,stephanie,10
1283,attention,10
1284,thinking,10
1285,elderly,10
1286,assisted,10
1287,traveling,10
1288,sat,10
1289,jones,10
1290,19,10
1291,tumor,9
1292,club,9
1293,playing,9
1294,knocking,9
1295,knocked,9
1296,kill,9
1297,function,9
1298,intoxicated,9
1299,fighting,9
1300,shouldnt,9
1301,lived,9
1302,response,9
1303,warrensburg,9
1304,mentioned,9
1305,kayla,9
1306,hanover,9
1307,speaker,9
1308,sign,9
1309,major,9
1310,kept,9
1311,thatll,9
1312,sweaty,9
1313,combative,9
1314,33,9
1315,unresponsive,9
1316,breaking,9
1317,attacked,9
1318,cheshire,9
1319,intersection,9
1320,knock,9
1321,226,9
1322,pill,9
1323,woodford,9
1324,evening,9
1325,tingling,9
1326,mason,9
1327,anthony,9
1328,whens,9
1329,laid,9
1330,glass,9
1331,slow,9
1332,nah,9
1333,stuck,9
1334,disoriented,9
1335,explain,9
1336,dose,9
1337,ems,9
1338,sandra,9
1339,jail,9
1340,ann,9
1341,numbness,9
1342,seizures,9
1343,kimberly,9
1344,shaky,9
1345,pike,9
1346,c,9
1347,falls,9
1348,disease,9
1349,breezeway,9
1350,43015,9
1351,argument,9
1352,forehead,9
1353,allison,9
1354,passing,9
1355,barbara,9
1356,54,9
1357,later,9
1358,57,9
1359,note,9
1360,bitch,9
1361,ed,9
1362,3971,9
1363,sudden,9
1364,following,9
1365,difference,9
1366,hate,9
1367,town,9
1368,kelly,9
1369,play,9
1370,tries,9
1371,quit,9
1372,shed,9
1373,keeping,9
1374,diagnosed,9
1375,304,9
1376,joy,9
1377,tara,9
1378,75,9
1379,siren,9
1380,plate,9
1381,license,9
1382,grabbed,9
1383,trailer,9
1384,older,9
1385,eaten,9
1386,means,9
1387,losing,9
1388,exact,9
1389,220,9
1390,struggling,9
1391,checking,9
1392,gate,9
1393,lately,9
1394,closed,9
1395,43082,9
1396,removed,8
1397,patricia,8
1398,pains,8
1399,general,8
1400,meadow,8
1401,65,8
1402,cheers,8
1403,cynthia,8
1404,american,8
1405,tests,8
1406,describe,8
1407,sentence,8
1408,word,8
1409,continue,8
1410,inches,8
1411,hunter,8
1412,84,8
1413,210,8
1414,287,8
1415,lord,8
1416,notes,8
1417,vicki,8
1418,world,8
1419,21,8
1420,count,8
1421,push,8
1422,pants,8
1423,appointment,8
1424,data,8
1425,rachel,8
1426,table,8
1427,judy,8
1428,backpack,8
